description,location,latitude,longitude,reference_code,violation_type,recording_date,source,keywords,youtube_id,landmarks,weather_in_media,languages,clothes_and_uniforms,sex,weapons_used,edited,file_size,device_used_to_record,media_content_type,chain_of_custody_notes,finding_aids,international_instrument,urls_and_news,related_incidents,page_title,video_url
Attacks targeting Al Jinah mosque in Aleppo. The civil defense team is looking for casualties in the impact site, ALEPPO : Al-Jinah, 36.107721, 36.787080, MO_c2ce1,"
            Specifically protected persons and objects"," March 17, 2017, 8:59 p.m.", SMART News Agency - وكالة سمارت للأنباء, ,https://www.youtube.com/watch?v=h_kIvIT1_Xw, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",c2ce141d16126b4f5f8589aebfbbd5d3b055a2cd36ab449da6e245a7,https://media.syrianarchive.org/files/spoon2/sV_20170317_h_kIvIT1_Xw.mp4
35 reported casualties as a result of attacks against Al Jinah mosque in Aleppo, ALEPPO : Al-Jinah, 36.107721, 36.787080, MO_97ea3,"
            Specifically protected persons and objects"," March 17, 2017, 8:29 a.m.", SMART News Agency - وكالة سمارت للأنباء, ,https://www.youtube.com/watch?v=TBwagt3lXXU, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",97ea3b1879e32a7ebe88f2ebbb403b8b8d72fd64f1c38b23f94ab35c,https://media.syrianarchive.org/files/spoon2/sV_20170317_TBwagt3lXXU.mp4
Casualties as a result of attacks that targeted a mosque in Aleppo, ALEPPO : Al-Jinah, 36.107721, 36.787080, MO_8eefe,"
            Specifically protected persons and objects"," March 17, 2017, 8:01 a.m.", الدرر الشامية, ,https://www.youtube.com/watch?v=Yefz2AOth_g, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",8eefe67166a6ef265d8fdac98278f8b622064913166f7dddd2815d92,https://media.syrianarchive.org/files/spoon2/sV_20170317_Yefz2AOth_g.mp4
Chlorine rocket attack by Syrian government that targeted Housh Nasry, DAMASCUS : Housh Al Dawahrah, 33.550873, 36.4651251, CW_53db8,"
            Use of illegal weapons"," Feb. 22, 2017, 3:40 p.m.", Orient News, ,https://www.youtube.com/watch?v=s18RkNCBXqc, , , None, , None,"
         
              Chemical Weapons", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",53db8d3941b6235b298795331a93db2002651cc41405b089df0e10b8,https://media.syrianarchive.org/files/spoon2/sV_20170222_s18RkNCBXqc.mp4
One of the doctors talking about the injuries as a result of the chlorine gas attack , DAMASCUS : Irbin nahiyah, 33.549101, 36.360075, CW_14ee7,"
            Use of illegal weapons"," Feb. 9, 2017, 11:41 a.m.", Qasioun News Agency, ,https://www.youtube.com/watch?v=OWvGdN6ywLs, , , None, , None,"
         
              Chemical Weapons", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",14ee7bc4631ead9064131068512030733ddb68df777b97299764b69d,https://media.syrianarchive.org/files/spoon2/sV_20170209_OWvGdN6ywLs.mp4
Rocket's [107mm Rocket] remnants which contained poisoned gas. , DAMASCUS : Medaany,  33.547547°,  36.444569°, CW_6d0f3,"
            Use of illegal weapons"," Jan. 30, 2017, 8:41 a.m.", Qasioun News Agency, ,https://www.youtube.com/watch?v=99-I75jlkZQ, , , None, , None,"
         
              Chemical Weapons", None, ,"
                ","
                
        ", , https://www.facebook.com/Medical.Office.alghota/posts/1026007784209219:0,"
                ", https://www.facebook.com/Medical.Office.alghota/posts/1026007784209219:0,"
                ",6d0f3b182452447ddd0a42e22fa115dcce65177fc38838f2bb31703a,https://media.syrianarchive.org/files/spoon2/sV_20170201_99-I75jlkZQ.mp4
Cluster bombs attack in Damascus countryside, DAMASCUS : Marj al sultan, , , CL_c60aa,"
            Use of illegal weapons"," Jan. 11, 2017, 8:41 a.m.", Qasioun News Agency, ,https://www.youtube.com/watch?v=AbYMdZchCWg, , , None, , None,"
         
              Cluster Munition", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",c60aab29db951313e3163e4eb31dfc86df5d73e889f1111fd1ec6c21,https://media.syrianarchive.org/files/spoon2/sV_20170111_AbYMdZchCWg.mp4
Cluster bombs attack that targeted Damascus countryside, DAMASCUS : Marj al sultan, , , CL_b23b7,"
            Use of illegal weapons"," Jan. 10, 2017, 4:32 p.m.", Step News Agency, ,https://www.youtube.com/watch?v=HkCwcMGcWUE, , , None, , None,"
         
              Cluster Munition", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",b23b78fcf5c575533f600641ec468e3e0016e8f6ae82a8b820e72f6a,https://media.syrianarchive.org/files/spoon2/sV_20170110_HkCwcMGcWUE.mp4
Interview with a civilian who was evacuated from Aleppo about his suffering under siege and bombing, ALEPPO, , , AL_1bca7,"
            Sieges and economic, social and cultural rights"," Dec. 30, 2016, 1:09 p.m.", baladi- news, ,https://www.youtube.com/watch?v=79j6tUUNXXs, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",1bca74481a3cc257d2b5d68e490f555672c2e3bac71d23e393313e17,https://media.syrianarchive.org/files/spoon2/sV_20161230_79j6tUUNXXs.mp4
Casualties and destruction in Azaz town because of a car bomb, ALEPPO : Azaz, , , AL_1227,"
            Unlawful attacks"," Dec. 30, 2016, 12:27 p.m.", baladi- news, ,https://www.youtube.com/watch?v=Aep1sEogOYQ, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",12279c7be3a4534cfc246b11b0a71840f11144cbdd6c67a3c49d25dd,https://media.syrianarchive.org/files/spoon2/sV_20161230_Aep1sEogOYQ.mp4
The destruction in Aleppo countryside after being targeted by alleged Russian airstrikes - Aleppo, ALEPPO : Binan Al hes, , , RU_1b732,"
            Alleged civilian casualties from Russian attacks"," Dec. 30, 2016, 8:39 a.m.", Step News Agency, ,https://www.youtube.com/watch?v=DPCgOGiveCo, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",1b7321a5e55513661032e5b650562d5125e4da7c51cc6f39d4fe5e00,https://media.syrianarchive.org/files/spoon2/sV_20161230_DPCgOGiveCo.mp4
Interview with the civilians who were evacuated from Aleppo about their suffering under siege and bombing, ALEPPO, , , AL_3c46f,"
            Sieges and economic, social and cultural rights"," Dec. 28, 2016, 8:42 p.m.", baladi- news, ,https://www.youtube.com/watch?v=uLCuEeV06Qs, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",3c46f08c59047892a22767c9096519237845a98cdf589f078b7fd7d0,https://media.syrianarchive.org/files/spoon2/sV_20161228_uLCuEeV06Qs.mp4
Destruction in schools as a result of bombing in Aleppo countryside, ALEPPO, , , AL_92549,"
            Specifically protected persons and objects"," Dec. 28, 2016, 5:24 p.m.", Step News Agency, ,https://www.youtube.com/watch?v=g3_060ZMG3k, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",92549a9c3a072661df58462db68cb405cbfd9e6d9355af173ddfde4a,https://media.syrianarchive.org/files/spoon2/sV_20161228_g3_060ZMG3k.mp4
The destruction in Aleppo countryside after being targeting it with alleged Russian airstrikes , ALEPPO : Al-Jinah, , , RU_3b7a9,"
            Unlawful attacks"," Dec. 28, 2016, 4:13 p.m.", Step News Agency, ,https://www.youtube.com/watch?v=ttouayITprY, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",3b7a9199782a92fcf5c11b4f0ca5fdd254bb86e105768167da44a4f8,https://media.syrianarchive.org/files/spoon2/sV_20161228_ttouayITprY.mp4
Interview with a woman who was evacuated from Aleppo about her suffering during the siege, ALEPPO, , , AL_57467,"
             Arbitrary and forcible displacement"," Dec. 28, 2016, 2:50 p.m.", Qasioun News Agency, ,https://www.youtube.com/watch?v=6TGpLz1LzOQ, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",574679c2bcd0f85f66ef0dfe58ce18392936e5d42ef6b32459c58a6b,https://media.syrianarchive.org/files/spoon2/sV_20161228_6TGpLz1LzOQ.mp4
The destruction in sief Al-Dawleh and Al-Zabadieh neighborhoods in Aleppo city, ALEPPO : Seif al-Dawleh, , , AL_9d4dc,"
            Unlawful attacks"," Dec. 27, 2016, 7:54 p.m.", Kareem Tebi, ,https://www.youtube.com/watch?v=mAVYsNM4vew, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",9d4dce3ea699203130d2ec56ac67b7ad7cd847a358c7ce3d6e5f96b9,https://media.syrianarchive.org/files/spoon2/sV_20161227_mAVYsNM4vew.mp4
The airstrikes target a mosque and civilian homes in Al-Jineh town - Aleppo, ALEPPO : Al-Jinah, , , AL_53a67,"
            Unlawful attacks"," Dec. 27, 2016, 4:44 p.m.", الدفاع المدني السوري - حلب, ,https://www.youtube.com/watch?v=fRzbBXey8is, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",53a676b387f807e4f886f6f9c9730ad6a7925ca51674a85c750bb4cf,https://media.syrianarchive.org/files/spoon2/sV_20161227_fRzbBXey8is.mp4
The destruction in al-Atarib town after targeting it with alleged Russian airstrikes - Aleppo, ALEPPO : Al atarib, , , RU_0ef84,"
            Alleged civilian casualties from Russian attacks"," Dec. 24, 2016, 3:50 p.m.", Step News Agency, ,https://www.youtube.com/watch?v=ruBeZxBH6WY, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",0ef8452017684d62f8ffafd89c926b1b286a48b07e7b17240d237d31,https://media.syrianarchive.org/files/spoon/sV_20161224_ruBeZxBH6WY.mp4
