City,Neighborhood,Latitude,Longitude
Hama,KafrZita,35.3740182,36.6012942
Idlib,Kafar Takharim,36.1181827,36.5162077
Idlib,Mar Zita,35.3740182,36.6012942
Hama,latamneh,35.3250604,36.6255869
Idlib,Jisr ash-Shughur,35.814405,36.3200091
Idlib,Khan Shaykhun,35.4403783,36.65721
Homs,Kafar Laha,34.8930455,36.4959348
Idlib,Urum al-Jouz,35.7904778,36.5675412
Damascus,Qaboun,33.5465739,36.33626539999999
Idlib,Taftanaz,35.9960232,36.7846436
Aleppo,Hawwar,36.50313999999999,37.2483859
Damascus,zamalka,33.5264878,36.3525183
Damascus,Saqba,33.5203294,36.3850137
Damascus,Jisrayn,33.5167289,36.954107
Hama,Halfaya,35.2626536,36.6066932
Damascus,Marj al sultan,33.5007841,36.4666355
Aleppo,Azaz,36.5868261,37.0480843
Aleppo,Seif al-Dawleh,36.209732,37.1261206
Aleppo,Al atarib,36.1328189,36.8304102
Aleppo,Khan al-Asl,36.1691836,37.0373502
Aleppo,Karfur Mall,36.2580219,37.0960331
Aleppo,Ansari,36.1867244,37.1352403
Aleppo,Bustan al-Qasr,36.193482,37.1392603
Aleppo,Kalaseh,36.15276,37.97924
Aleppo,Kafar Karmin,36.1575838,36.78733649999999
Aleppo,Kafar Nouran,36.080167,36.8196442
Aleppo,Kafar Kalbin,36.5566138,37.0896641
Aleppo,Kafr hamrah,36.2564064,37.0883232
Aleppo,Mansoura,36.2009481,37.0534508
Aleppo,Hayyan,36.2224239,37.0942318
Aleppo,Mashhad,36.30198620000001,36.8724502
Aleppo,Ra'ai,36.6132517,37.4494636
Aleppo,Alshaar,36.2028527,37.1780256
Aleppo,Al Bab,36.3721329,37.5161409
Aleppo,Sakhour,36.218944,37.1888225
Aleppo,Sheikh Maqsoud,36.2364998,37.1499794
Aleppo,Bab Nayrab,36.17718139999999,37.1714127
Aleppo,Harithan,36.28331,37.07745
Aleppo,Jazmati,36.198383,37.2035507
Aleppo,Bab Road,36.201735000000014,37.1680677
Aleppo,Balleramoun,36.2392929,37.1097748
Aleppo,Al-Fardos,36.1809208,37.15131909999999
Idlib,Binnish,35.9581565,36.71189710000001
Aleppo,Al qseyleh,36.2153435,37.09432839999999
Aleppo,Sukkari,36.1730625,37.1406003
Aleppo,Jalloum,36.1963683,37.1539986
Aleppo,Asia,36.2021047,37.1342603
Aleppo,Salah al-Din,36.1909448,37.1235377
Aleppo,Babis,36.2473112,37.0158772
Aleppo,Bustan al-Basha,36.2284107,37.170743
Aleppo,Umayjil,36.1992982,37.1568423
Aleppo,Afrin,36.5122781,36.8653891
Aleppo,Kafar Dael,36.21722430000001,37.021246
Aleppo,1070 project,36.1783886,37.076304
Aleppo,Al Nayrab,36.1883712,37.2570821
Aleppo,khan Touman,36.1175,37.050833
Aleppo,New Aleppo,36.1995699,37.0963683
Aleppo,Miznaz,36.5868261,37.0480843
Aleppo,Castillo,36.1993994,37.1629614
Aleppo,Marjeh,36.2018399,37.1515285
Aleppo,Sheikh Fares,36.2095124,37.1530594
Damascus,Khan al-Shih,33.3732626,36.113797
Aleppo,Akhtarin,36.5098375,37.3373042
Homs,Rastan,34.9249587,36.733459
Aleppo,Bab al-Hadid,36.2034464,37.1672537
Aleppo,Halak,36.2021047,37.1342603
Aleppo,Zahret Al Mada'en,35.0838573,36.761429
Aleppo,Aleppo damascus International road,36.1783886,37.076304
Aleppo,Karam al-Jabal,36.198383,37.2035507
Homs,Talbisah,34.8422936,36.7307641
Aleppo,Ashekh Saeed,36.1647521,37.1475595
Aleppo,Kafar Aleppo,36.0602782,36.8721139
Aleppo,Bab Qinnesrin,36.1945522,37.1558825
Idlib,Afes,35.9046633,36.7994535
Aleppo,Mar'e,36.4797283,37.1955175
Aleppo,Bayadah,34.3053536,36.7574644
Aleppo,Manbij,36.5352848,37.9678652
Aleppo,Bayanoun,36.3409359,37.0521092
Aleppo,Zitan,36.064657,37.0078232
Aleppo,Bab al-Nasr,36.20412,37.1626666
Aleppo,Termaneen,36.2293348,36.8169524
Aleppo,Bab Al-Maqam,36.1936701,37.1613809
Aleppo,Bezzeh,33.5218015,36.3156672
Lattakia,Jabal Akrad,35.65,36.2
Hama,Talaf,34.912113,36.5580877
Damascus,Madaya,33.6904957,36.1018973
Hama,Alsayad,35.3991343,36.6195145
Idlib,Hobait,35.4409636,36.539177
Hama,Kafr Nabudah,35.4294145,36.4908151
Homs,Palmyra,34.570012,38.2921653
Idlib,Al-Najeya,35.7904573,36.2115452
Idlib,Al hamidia,35.6547832,36.3863673
Aleppo,Tal Rifaat,36.4651868,37.0936867
Idlib,Bdama,35.8115637,36.2020473
Homs,Ter Maela,34.8020204,36.7092014
Damascus,Jobar,33.5192467,36.330847
Homs,Al-Ghantu,34.8228053,36.6971905
Daraa,Inkhil,33.0145883,36.1273805
Daraa,Kafr Nasij,33.150414,36.0390451
Idlib,Aqrabat,36.2693762,36.7078536
Aleppo,Ahras,36.4023341,37.1446201
Homs,Gharnatah,34.7340655,36.7035842
Daraa,Busra al-Harir,32.8344038,36.3443923
Daraa,Izraa,32.8449406,36.2251116
Daraa,Western Al-Ghariyah,32.6879591,36.2235294
Daraa,Sheikh Miskin,32.8274735,36.1599713
Homs,Aldar alkabera,34.7875182,36.6822392
Aleppo,Ashrafieh,36.2300461,37.1472558
Daraa,Bosra,32.5166892,36.4743044
Damascus,Kafar Batna,33.5142841,36.3741834
Aleppo,Kafer Khasher,36.5476222,37.0628412
Idlib,Talmenes,35.6384266,36.733459
Daraa,Tafas,32.7324624,36.0621579
Daraa,Athman,32.6638169,36.113797
Aleppo,Sheikh Khider,36.2189184,37.1544287
Aleppo,Maarstah,36.20777990000001,37.1561768
Daraa,Herak,32.751027,36.301039
Hama,Morek,35.3735472,36.6924529
Aleppo,Bab al salamah,33.5218015,36.3156672
Daraa,Nawa,32.8868129,36.0404049
Idlib,Termanin,36.2293348,36.8169524
Damascus,Qalamoun,34.00135059999999,36.8227265
Aleppo,Sarmada,36.1866936,36.7253741
Hama,Zakah,35.3413709,36.5756433
Idlib,Hazano,36.0916195,36.7145927
Damascus,Al ashari,33.5026554,36.2904054
Idlib,Mardikh,35.8100141,36.7900293
Idlib,Al Naqeer,35.4987271,36.5405279
Idlib,Jarjanaz,35.6179551,36.7846436
Aleppo,Al Jubeilah,36.2018755,37.1647154
Idlib,Dana,36.2184032,36.7684838
Aleppo,Dayr Jamal,36.4449505,37.0266145
Hama,Suqaylabiyah,35.3600693,36.3958424
Aleppo,Kafar Naya,36.4228483,37.07491270000001
Aleppo,Misqan,36.2196603,37.1673944
Idlib,Areha,35.8268798,36.6957216
Idlib,Killi,36.1072992,36.6903289
Damascus,Beit Saham,33.4681524,36.3525183
Idlib,Kansafrah,35.6594228,36.4851204
Idlib,Tell Sultan,35.8234031,36.9514202
Deir Ezzor,Al Bukamal,34.4653258,40.9081831
Idlib,Ram hamdan,36.0272736,36.7132449
Aleppo,Az Ziyarah,36.1732314,37.0822665
Idlib,Sukayk,35.42913420000001,36.770504
Damascus,Misraba,33.55066010000001,36.3958424
Lattakia,Salma,35.6865874,36.1409616
Aleppo,Al Hader,35.98687,37.061451
Aleppo,Al eis,35.996011,37.0024533
Damascus,Ayn Tarma,33.5137422,36.34710099999999
Idlib,Masaran,35.7076081,36.8021459
Lattakia,Haffah,35.5955313,36.0322459
Idlib,Al ghadfah,35.6728644,36.7900293
Idlib,Kafr aweed,35.629485,36.4553727
Homs,Ghajar,34.8942989,36.68811
Homs,Al waer,34.7333886,36.6583864
Aleppo,Zahra,36.3645281,37.0158772
Idlib,Al nerab,35.869581,36.7186359
Hama,Al hawash,35.5497325,36.3809525
Damascus,Al-Qadam,33.4706897,36.287486
Daraa,Muzayrib,32.7039909,36.0295261
Damascus,Adra,33.6038655,36.517559
Homs,Al-Khaldeeye,34.7456292,36.7199836
Damascus,Mazzeh military airport,33.4810899,36.2278245
Damascus,Muadamiyat Al-sham,33.4613288,36.1925483
