Description,City,Neighborhood,Latitude,Longitude,Reference_Code,Violation_Type,Recording_Date,Recording_Hour,Recording_Minute,Source,Youtube_ID,Weapons_Used,URLs_And_News,Page_Title,Video_URL,Database_ID
The destruction in KafrZita Hospital after being  targeted with alleged Russian attacks,HAMA,KafrZita,NA,NA,HO_dda72,Specifically protected persons and objects,2017-04-30,21.0,38.0,Syrian Network for Human Rights,https://www.youtube.com/watch?v=OeCKd5NLm8g,NA,NA,dda72a4a87a3e126db9339703d141b6be5bc7973bf4bde5781b1cad4,https://media.syrianarchive.org/files/spoon2/sV_20170430_OeCKd5NLm8g.mp4,64496
Russian warplanes targeting the Civil Defense Center in Kufrzita and caused 8 martyrs,HAMA,KafrZita,NA,NA,CD_5a8ee,Specifically protected persons and objects,2017-04-30,16.0,39.0,Orient News,https://www.youtube.com/watch?v=ieqGOIhyq78,NA,NA,5a8ee13819166f1d960b8526242123ab7fbc3e0cd9ed0243ddc9c443,https://media.syrianarchive.org/files/spoon2/sV_20170430_ieqGOIhyq78.mp4,64598
Targeting the Civil Defense Center in the town of Kafr Zeita in the countryside of Hama by airstrikes,HAMA,KafrZita,NA,NA,CD_be9b1,Specifically protected persons and objects,2017-04-30,6.0,38.0,وكالة ثقة,https://www.youtube.com/watch?v=rlddY1PKC7g,NA,NA,be9b1bd8d82e100075713a0d9aecc4ae281e1d55f2b655e365a98411,https://media.syrianarchive.org/files/spoon2/sV_20170429_rlddY1PKC7g.mp4,64520
"airstrikes  targeting Civil Defense Center in Kafr Zeita town, Hama countryside.",HAMA,KafrZita,NA,NA,CD_683b5,Specifically protected persons and objects,2017-04-29,19.0,23.0,هادي العبدالله Hadi Alabdallah,https://www.youtube.com/watch?v=61HnswYygLo,NA,NA,683b55e7e8d5432d748603b20c6318daf5ca514a1acb4bb7976524a7,https://media.syrianarchive.org/files/spoon2/sV_20170429_61HnswYygLo.mp4,64340
Targeting Sarmin city in Idlib countryside with missile carrying cluster bombs.,IDLIB,Sarmin nahiyah,NA,NA,CL_817a0,Use of illegal weapons,2017-04-28,18.0,2.0,وكالة ثقة,https://www.youtube.com/watch?v=xDTt9gJix3k,Cluster Munition,NA,817a0a26d201ab7f879e1574642ab99e6a966ce2f117d6fcbe0568c9,https://media.syrianarchive.org/files/spoon2/sV_20170428_xDTt9gJix3k.mp4,64246
"Airstrikes against children and obstetric hospital in Kafartakharim, Idlib countryside.",IDLIB,Kafar Takharim,NA,NA,HO_6fb30,Specifically protected persons and objects,2017-04-28,12.0,58.0,Baladi-News Network,https://www.youtube.com/watch?v=H4QggxgbGJc,NA,NA,6fb302202ee4db2bc82ee9110d2bcce8417d714321ca6fc7a9cf48ab,https://media.syrianarchive.org/files/spoon2/sV_20170427_H4QggxgbGJc.mp4,64232
Al Hula bakery is out of order due to airstrikes,HOMS,Houla,NA,NA,HO_ce67e,Specifically protected persons and objects,2017-04-27,19.0,23.0,الدرر الشامية,https://www.youtube.com/watch?v=CXexO9EDgeE,NA,NA,ce67eaaf0b284101e75fcafe285fac717c9c74818664175b260fc579,https://media.syrianarchive.org/files/spoon2/sV_20170427_CXexO9EDgeE.mp4,64060
Civil Defense team is rescuing injured as a result of targeting the university hospital,IDLIB,Deir Sharqi,NA,NA,HO_d0389,Specifically protected persons and objects,2017-04-27,15.0,4.0,الدفاع المدني السوري في محافظة ادلب,https://www.youtube.com/watch?v=z0o2LbPzFOA,NA,NA,d0389c5b440fd4187d448db877417b28638c16108bf124ef86e3e975,https://media.syrianarchive.org/files/spoon2/sV_20170427_z0o2LbPzFOA.mp4,64092
The university hospital is out of service as a result of airstrikes,IDLIB,Deir Sharqi,NA,NA,HO_5a190,Specifically protected persons and objects,2017-04-27,13.0,57.0,Orient News,https://www.youtube.com/watch?v=CTkZ2bciD38,NA,NA,5a1900057ade21ea2bdde566205acb39e2842b9ec061c6eb0377cbad,https://media.syrianarchive.org/files/spoon2/sV_20170427_CTkZ2bciD38.mp4,64197
Russian airstrikes targets Shamna Medical point,IDLIB,Mar Zita,NA,NA,HO_90c3f,Specifically protected persons and objects,2017-04-27,13.0,57.0,Orient News,https://www.youtube.com/watch?v=6m8TKYPB48w,NA,NA,90c3ffc48f4e09c0e61f26d5576fb34a4035d5b88679fe60f1b3aa48,https://media.syrianarchive.org/files/spoon2/sV_20170427_6m8TKYPB48w.mp4,64199
